Reconstruction error,Residual variance,Output dimension,Number of neighbors,KNN Accuracy,KNN F1 measure,KNN accuracy std,KNN F1 measure std
2.0143825528416886e-18,0.9981045848539879,1.0,5.0,64.65959907797622,0.4299866500256758,0.8910687936529125,0.02784928045360255
1.083538265971715e-17,0.9978561673434022,2.0,5.0,77.20023298704275,0.680898318074526,0.9662678967135853,0.015534585665091607
2.1980839525425046e-18,0.9999969883217752,3.0,5.0,77.61259169729644,0.6826667232399504,1.4786496940425706,0.020373779014760056
1.5868015765700885e-17,0.9999813279061108,4.0,5.0,77.6127807334366,0.6834536963058071,1.3255352855681626,0.021259462189859767
1.3319033492108295e-17,0.999774104476301,1.0,6.0,75.70053839855672,0.6705653746424779,1.1722422611175591,0.015793699211616524
4.797289067750444e-18,0.9989286360488635,2.0,6.0,80.59059616091228,0.7424643179736755,1.5950537579425514,0.023563030464599264
9.987275403944635e-18,0.9998131519551664,3.0,6.0,81.43825784293225,0.7517046444006983,1.9780193502539063,0.026380533978958527
1.70695680587003e-17,0.9656077412466971,4.0,6.0,81.74232247438856,0.7545086968491365,1.3074393468780932,0.013077321727662775
7.027598891280854e-18,0.7728317177921338,1.0,8.0,66.61721008649585,0.45800334573310353,1.2868545027549838,0.02681140434480121
7.619230508782824e-18,0.8295180967883258,2.0,8.0,74.83238992484632,0.6379667285624281,0.9262351332201136,0.016156285911264653
2.033784232053503e-17,0.8907429294462696,3.0,8.0,77.78730834984447,0.6841075274934958,1.3331461827501498,0.02205455224997082
9.64019039041204e-18,0.9069384169422575,4.0,8.0,79.2657600020794,0.7028656812319225,0.7332307844697187,0.018851645509778473
2.1552518818360777e-18,0.9579736032973112,1.0,10.0,70.11596185723282,0.5297750865789526,1.393161115497488,0.016193979407951288
2.0645912394656318e-18,0.9495335581281038,2.0,10.0,72.78843665930607,0.607853338348323,1.2385249428630691,0.020565962542337706
1.6218036473185414e-18,0.9340644753180891,3.0,10.0,77.63572499494919,0.6759183562754763,0.8829782261881012,0.01885680909401312
6.099331201058976e-18,0.9158026901470753,4.0,10.0,78.33000747874229,0.6912254469606148,0.8771828907999379,0.010688792395188542
2.867452575929108e-17,0.8308556291527475,1.0,12.0,66.00695416700634,0.47718217445112543,0.8454830554823296,0.021292054332743098
6.275187370882303e-17,0.8355852375846975,2.0,12.0,70.00672259773464,0.5683124316337225,1.0204281863336802,0.016096640223872038
5.918658519763836e-17,0.7717890161415258,3.0,12.0,71.52761286343676,0.5862208079261335,0.9801609316287363,0.012770595052111361
1.0953696280453909e-16,0.8258140249467937,4.0,12.0,73.15878208740796,0.6147143588680766,1.3262814514799208,0.025284228422092665
1.789984728315877e-17,0.9229778761302095,1.0,14.0,61.57410393915872,0.36397474176646805,0.8291949695604756,0.012189039738624204
7.018902990705253e-17,0.9125189123410017,2.0,14.0,72.35398435017055,0.6182665962411725,0.7225197947105197,0.007138672675238402
4.8732701321930666e-17,0.7961224340598849,3.0,14.0,72.85334694393542,0.6220274852045409,0.9954750961987681,0.01932325704789527
1.6138672024696518e-16,0.7746945143643258,4.0,14.0,77.46214255924215,0.6853093478329919,1.254725950562109,0.01918693959831057
1.8383825735143102e-17,0.9407599127376187,1.0,16.0,65.50617380219023,0.44061804962325013,1.6745778416691355,0.023944976889513483
7.603769669479717e-17,0.9047537050390684,2.0,16.0,72.02839322825287,0.5767801974062301,0.8902464130747231,0.013562403523657153
6.047812063346078e-17,0.8821076598101227,3.0,16.0,71.17992814263722,0.5770572048730861,1.456491151887406,0.022796635465320705
1.4190609825963453e-16,0.8462938397961164,4.0,16.0,77.93908074087989,0.6965980372589942,1.5612676245940442,0.020363774526246537
1.3503143776281668e-17,0.9563799627428756,1.0,18.0,61.8786884200005,0.4020736363950383,1.369459723062162,0.0222049071796668
6.974755611960764e-17,0.9294723088641945,2.0,18.0,71.7229108257453,0.596078476494342,0.7134361344750975,0.012821570950107827
2.899940648192794e-17,0.8711672280652055,3.0,18.0,74.63661937218735,0.6357526598201376,1.8368181658277194,0.032886521295437225
3.8396546630470206e-16,0.8338039198130969,4.0,18.0,74.65847667589401,0.6370160770786674,1.2893289536281878,0.024135275038817086
9.869598313240478e-18,0.7276782656985118,1.0,20.0,59.13936571286119,0.30513486950629776,0.4894750151098001,0.012546488603600484
3.571682569869702e-17,0.7471001416347347,2.0,20.0,69.68013903608107,0.5549234475456629,0.6919435977075217,0.016751659278578034
1.8279322604981572e-16,0.532250740692555,3.0,20.0,70.39816918498249,0.5675231497908839,0.7273452281080891,0.021440293589290345
1.7884919158656384e-16,0.6249976786785982,4.0,20.0,75.1356038936719,0.6403452667210909,0.8004536884713364,0.013025453891517299
7.681448344465518e-18,0.8117638064794641,1.0,22.0,61.59563042962009,0.3618602575178608,1.1365552379236186,0.016840484572049858
5.67503068982088e-17,0.7905645777062936,2.0,22.0,69.72442075191488,0.556981015240156,1.3123470763616778,0.019471954013171623
4.06609595098978e-17,0.7793714572832567,3.0,22.0,73.5482910542191,0.6232108581675222,1.5649812417718827,0.023598866477352515
7.61603703467354e-16,0.7596917439640078,4.0,22.0,73.72291318869705,0.626926547696723,0.7571040671757021,0.015524428956236373
1.992056248018764e-17,0.44908049491371405,1.0,24.0,73.11336615473317,0.6087429579872883,1.2597093508087855,0.01990614185923001
