Wall clock time [s],Components,Neighbors
3.802537223091349,1.0,5.0
3.6979552579578012,2.0,5.0
3.796545799006708,3.0,5.0
3.754367623012513,4.0,5.0
4.704683078918606,1.0,6.0
4.698310980107635,2.0,6.0
4.9061239790171385,3.0,6.0
4.854009533999488,4.0,6.0
6.20489846309647,1.0,8.0
6.231998780975118,2.0,8.0
6.245301360962912,3.0,8.0
6.256334864068776,4.0,8.0
7.747098820982501,1.0,10.0
7.7681068510282785,2.0,10.0
7.803252694080584,3.0,10.0
8.210050759022124,4.0,10.0
8.126701266039163,1.0,12.0
8.129282666021027,2.0,12.0
8.161223260918632,3.0,12.0
8.119620670098811,4.0,12.0
8.60945875197649,1.0,14.0
8.632060133037157,2.0,14.0
8.640626517008059,3.0,14.0
8.595491694053635,4.0,14.0
9.41377546498552,1.0,16.0
9.339475910062902,2.0,16.0
9.41713945090305,3.0,16.0
9.399023373960517,4.0,16.0
9.808558908989653,1.0,18.0
9.848442889051512,2.0,18.0
9.941290506976657,3.0,18.0
9.779150605900213,4.0,18.0
9.450691640959121,1.0,20.0
9.509408203070052,2.0,20.0
9.490745184011757,3.0,20.0
9.410080277943052,4.0,20.0
12.575017213006504,1.0,22.0
12.630523689091206,2.0,22.0
12.71629265206866,3.0,22.0
12.691037891083397,4.0,22.0
11.481704895035364,1.0,24.0
11.49378916004207,2.0,24.0
11.484982340945862,3.0,24.0
11.505032261018641,4.0,24.0
12.291838380973786,1.0,26.0
12.39876991393976,2.0,26.0
12.37845691491384,3.0,26.0
12.38814902806189,4.0,26.0
12.815084227011539,1.0,28.0
12.831191138015129,2.0,28.0
12.872921517002396,3.0,28.0
12.87501738697756,4.0,28.0
13.373362507903948,1.0,30.0
13.464313101023436,2.0,30.0
13.416827570996247,3.0,30.0
13.358823495917022,4.0,30.0
12.329894735012203,1.0,32.0
12.30622080003377,2.0,32.0
12.37230865296442,3.0,32.0
12.33515525108669,4.0,32.0
12.43405217200052,1.0,34.0
12.44394770800136,2.0,34.0
12.442180469981395,3.0,34.0
12.473093091975898,4.0,34.0
12.878600397030823,1.0,36.0
12.899321745964698,2.0,36.0
12.882616368005984,3.0,36.0
12.939855150063522,4.0,36.0
13.440684352070093,1.0,38.0
13.498902059043758,2.0,38.0
13.451986650936306,3.0,38.0
13.48251705605071,4.0,38.0
15.11500229605008,1.0,40.0
15.132674035034142,2.0,40.0
15.075962739996612,3.0,40.0
15.18294525402598,4.0,40.0
14.715267000952736,1.0,42.0
14.740827094996348,2.0,42.0
14.677555836038664,3.0,42.0
14.689332881011069,4.0,42.0
14.193652373971418,1.0,44.0
14.229658306925558,2.0,44.0
14.16476979793515,3.0,44.0
14.267508446006104,4.0,44.0
14.908594078966416,1.0,46.0
14.974039321998134,2.0,46.0
14.935769962961785,3.0,46.0
14.959270910010673,4.0,46.0
14.58852814103011,1.0,48.0
14.58071267802734,2.0,48.0
14.555832256912254,3.0,48.0
14.604566782945767,4.0,48.0
15.704357024049386,1.0,50.0
15.743854772066697,2.0,50.0
15.811778911040165,3.0,50.0
15.78626970294863,4.0,50.0
15.403978717979044,1.0,52.0
15.371115093003027,2.0,52.0
15.432935107965022,3.0,52.0
15.40949953510426,4.0,52.0
16.11014482297469,1.0,54.0
16.08462509396486,2.0,54.0
16.131326407077722,3.0,54.0
16.0877113660099,4.0,54.0
15.217751051997766,1.0,56.0
15.281235372996889,2.0,56.0
15.254820640082471,3.0,56.0
15.2701830631122,4.0,56.0
15.435878125019372,1.0,58.0
15.48125767998863,2.0,58.0
15.451609111973085,3.0,58.0
15.480151837924495,4.0,58.0
16.34673786989879,1.0,60.0
16.388656032038853,2.0,60.0
16.330081171006896,3.0,60.0
16.304135314072482,4.0,60.0
15.972197360009886,1.0,62.0
16.023457232047804,2.0,62.0
16.052369944984093,3.0,62.0
15.992233628057875,4.0,62.0
16.052128289011307,1.0,64.0
16.081526557914913,2.0,64.0
16.07962952903472,3.0,64.0
16.116021765978076,4.0,64.0
16.121259532053955,1.0,66.0
16.135260156006552,2.0,66.0
16.069077666965313,3.0,66.0
16.097522227093577,4.0,66.0
16.61796709196642,1.0,68.0
16.640878419973888,2.0,68.0
16.649720688001253,3.0,68.0
16.603772285976447,4.0,68.0
16.532374105066992,1.0,70.0
16.600303780054674,2.0,70.0
16.59812018298544,3.0,70.0
16.6177672179183,4.0,70.0
16.746756469947286,1.0,71.0
16.808588208979927,2.0,71.0
16.74529608397279,3.0,71.0
16.798213318921626,4.0,71.0
16.845047554001212,1.0,73.0
16.991117985919118,2.0,73.0
16.88669272500556,3.0,73.0
16.836949758930132,4.0,73.0
15.637096664053388,1.0,75.0
15.628093487001024,2.0,75.0
15.613408994977362,3.0,75.0
15.65254030493088,4.0,75.0
16.49224862398114,1.0,77.0
16.474078297032975,2.0,77.0
16.425109883071855,3.0,77.0
16.419524955097586,4.0,77.0
16.567823379999027,1.0,79.0
16.57048230408691,2.0,79.0
16.508612468023784,3.0,79.0
16.552721453015693,4.0,79.0
15.968493919004686,1.0,81.0
15.985716186929494,2.0,81.0
16.033087877905928,3.0,81.0
16.04070466500707,4.0,81.0
15.993422426981851,1.0,83.0
15.93641876289621,2.0,83.0
16.007276591961272,3.0,83.0
15.983101965975948,4.0,83.0
15.856701630051248,1.0,85.0
15.872797028976493,2.0,85.0
15.828603263944387,3.0,85.0
15.872252570930868,4.0,85.0
16.44928274000995,1.0,87.0
16.47570725705009,2.0,87.0
16.444673712016083,3.0,87.0
16.478353461017832,4.0,87.0
16.934540871996433,1.0,89.0
16.960597484954633,2.0,89.0
16.98660415096674,3.0,89.0
16.95275080599822,4.0,89.0
17.217229943955317,1.0,91.0
17.22147239698097,2.0,91.0
17.240397076006047,3.0,91.0
17.280221691005863,4.0,91.0
16.985186684061773,1.0,93.0
16.99603462894447,2.0,93.0
17.095298770000227,3.0,93.0
17.000590797979385,4.0,93.0
16.68426609400194,1.0,95.0
16.641066230949946,2.0,95.0
16.680904307053424,3.0,95.0
16.634644375066273,4.0,95.0
17.478935185004957,1.0,97.0
17.547453153994866,2.0,97.0
17.52481654298026,3.0,97.0
17.54568385099992,4.0,97.0
17.096245283959433,1.0,99.0
17.198148615076207,2.0,99.0
17.195713366032578,3.0,99.0
17.16118518298026,4.0,99.0
17.649791775038466,1.0,101.0
17.694161957944743,2.0,101.0
17.72727395000402,3.0,101.0
17.700627255951986,4.0,101.0
17.89445858099498,1.0,103.0
17.9253240050748,2.0,103.0
18.084184024948627,3.0,103.0
17.941757033928297,4.0,103.0
18.01292017789092,1.0,105.0
17.95228757802397,2.0,105.0
18.034623717074282,3.0,105.0
18.03206301794853,4.0,105.0
17.831933542038314,1.0,107.0
17.823913312982768,2.0,107.0
17.876682001980953,3.0,107.0
17.806427574018016,4.0,107.0
19.065764378057793,1.0,109.0
19.06427417998202,2.0,109.0
19.18941921601072,3.0,109.0
19.134965430013835,4.0,109.0
18.429814056959003,1.0,111.0
18.375862595043145,2.0,111.0
18.45201251609251,3.0,111.0
18.37941596703604,4.0,111.0
19.00655493501108,1.0,113.0
19.083044075989164,2.0,113.0
18.94698246906046,3.0,113.0
19.022120260982774,4.0,113.0
19.244100627023727,1.0,115.0
19.324428871041164,2.0,115.0
19.316303692990914,3.0,115.0
19.37273757206276,4.0,115.0
18.953677493031137,1.0,117.0
19.07267654198222,2.0,117.0
19.13148923602421,3.0,117.0
19.100013103918172,4.0,117.0
18.824915285920724,1.0,119.0
18.85706223093439,2.0,119.0
18.76004599092994,3.0,119.0
18.78629832493607,4.0,119.0
18.58109044097364,1.0,121.0
18.591998925083317,2.0,121.0
19.044990265043452,3.0,121.0
18.503206865047105,4.0,121.0
18.590782974963076,1.0,123.0
18.64331842190586,2.0,123.0
18.710506635019556,3.0,123.0
18.650166557054035,4.0,123.0
19.131650783936493,1.0,125.0
19.250636148964986,2.0,125.0
19.184732564957812,3.0,125.0
19.166803166968748,4.0,125.0
18.905540344072506,1.0,127.0
18.935067325015552,2.0,127.0
18.975383761920966,3.0,127.0
18.974787732004188,4.0,127.0
17.818530033924617,1.0,129.0
17.887470208923332,2.0,129.0
17.77062206098344,3.0,129.0
17.82932154892478,4.0,129.0
18.192910253070295,1.0,131.0
18.326337245991454,2.0,131.0
18.26174590899609,3.0,131.0
18.214749741950072,4.0,131.0
18.308070047060028,1.0,133.0
18.401421856018715,2.0,133.0
18.293626663973555,3.0,133.0
18.315386918955483,4.0,133.0
18.240535316057503,1.0,135.0
18.07554942695424,2.0,135.0
18.002438043011352,3.0,135.0
18.000645383959636,4.0,135.0
18.472713875002228,1.0,136.0
18.534298446029425,2.0,136.0
18.54058726702351,3.0,136.0
18.53185259597376,4.0,136.0
19.93647061602678,1.0,138.0
20.01823374896776,2.0,138.0
19.96348479297012,3.0,138.0
20.030041443067603,4.0,138.0
19.585367923020385,1.0,140.0
19.780362819088623,2.0,140.0
19.757546611013822,3.0,140.0
19.815376808983274,4.0,140.0
19.91677770402748,1.0,142.0
20.061893831007183,2.0,142.0
19.964182500960305,3.0,142.0
19.93200607295148,4.0,142.0
19.477504851995036,1.0,144.0
19.486703371047042,2.0,144.0
19.538146449951455,3.0,144.0
19.55493179289624,4.0,144.0
19.858476118999533,1.0,146.0
19.709825415047817,2.0,146.0
19.71522527805064,3.0,146.0
19.838370834011585,4.0,146.0
19.51214650995098,1.0,148.0
19.360160622978583,2.0,148.0
19.430703719961457,3.0,148.0
19.490388976992108,4.0,148.0
19.775095566059463,1.0,150.0
19.760385359055363,2.0,150.0
19.76977761008311,3.0,150.0
19.77235343994107,4.0,150.0
19.642922739032656,1.0,152.0
19.583828734932467,2.0,152.0
19.539971146034077,3.0,152.0
19.661182283074595,4.0,152.0
19.527368771960028,1.0,154.0
19.430128309992142,2.0,154.0
19.387988961068913,3.0,154.0
19.540774174965918,4.0,154.0
19.575468988041393,1.0,156.0
19.608020302955993,2.0,156.0
19.601515832007863,3.0,156.0
19.566641437937506,4.0,156.0
19.440896461019292,1.0,158.0
19.503648679004982,2.0,158.0
19.390698518021964,3.0,158.0
19.426475092070177,4.0,158.0
20.210369120002724,1.0,160.0
20.007952688029036,2.0,160.0
20.094490570016205,3.0,160.0
20.168936862959526,4.0,160.0
19.626324901008047,1.0,162.0
