Wall clock time [s],Components,Neighbors
1.2775124969193712,1.0,5.0
1.2280411680694672,2.0,5.0
1.2145882580662146,3.0,5.0
1.1984302699565887,4.0,5.0
1.2918100149836391,1.0,6.0
1.2838227299507707,2.0,6.0
1.2905733559746295,3.0,6.0
1.2886818239931015,4.0,6.0
1.4673596010543406,1.0,8.0
1.4633003859780729,2.0,8.0
1.4672235409962011,3.0,8.0
1.4588769710389895,4.0,8.0
1.8341251229867341,1.0,10.0
1.8376711569726467,2.0,10.0
1.8386295730015263,3.0,10.0
1.8447044939966872,4.0,10.0
1.8088181789498776,1.0,12.0
1.7972334600053728,2.0,12.0
1.7935420429566875,3.0,12.0
1.7945675720693544,4.0,12.0
2.0080735950032254,1.0,14.0
2.005793340038508,2.0,14.0
2.0100194020196795,3.0,14.0
2.0054443869739766,4.0,14.0
2.2267860100837424,1.0,16.0
2.2139304419979453,2.0,16.0
2.220621371991001,3.0,16.0
2.2194808600470424,4.0,16.0
2.174130599014461,1.0,18.0
2.1719768269686033,2.0,18.0
2.182157284929417,3.0,18.0
2.1706656609894712,4.0,18.0
2.1889034629566595,1.0,20.0
2.223227005102672,2.0,20.0
2.1933643529191613,3.0,20.0
2.194445275934413,4.0,20.0
2.410393520956859,1.0,22.0
2.403538441983983,2.0,22.0
2.4079507519491017,3.0,22.0
2.4074447189923376,4.0,22.0
2.3692606579279527,1.0,24.0
2.3711297339759767,2.0,24.0
2.358034532982856,3.0,24.0
2.3620210209628567,4.0,24.0
2.4967085050884634,1.0,26.0
2.4985197880305354,2.0,26.0
2.4844223990803584,3.0,26.0
2.4882957179797813,4.0,26.0
2.457410247996449,1.0,28.0
2.4546590870013456,2.0,28.0
2.4613655330613256,3.0,28.0
2.4646098029334103,4.0,28.0
2.4796002398943533,1.0,30.0
2.4719961010850966,2.0,30.0
2.4642059400212015,3.0,30.0
2.4854168849997222,4.0,30.0
2.601115801022388,1.0,32.0
2.636545568006113,2.0,32.0
2.654437008081004,3.0,32.0
2.653648312902078,4.0,32.0
2.7640721349744126,1.0,34.0
2.7728538289666176,2.0,34.0
2.7765969450119883,3.0,34.0
2.7689806789858267,4.0,34.0
