Reconstruction error,Residual variance,Output dimension,Number of neighbors,KNN Accuracy,KNN F1 measure,KNN accuracy std,KNN F1 measure std
6.58658314590228e-15,0.8990500633981355,1.0,5.0,62.19185407508913,0.3613205871361867,2.17978270187924,0.029569364099171137
1.317316629180456e-14,0.8936934474963822,2.0,5.0,67.14555711099975,0.5013937836510906,1.1188774268866772,0.0222047835485072
1.975974943770684e-14,0.8820548602896663,3.0,5.0,70.70946603881788,0.5651266735704584,1.6510034158303877,0.024810117872478298
2.634633258360912e-14,0.8833349042075327,4.0,5.0,73.5746887519194,0.6136416047528799,1.6042116241874047,0.027537002432209388
6.624725844056765e-15,0.9538874890874534,1.0,6.0,63.36454639281808,0.4414651210210513,1.1609041176270811,0.012179991602289986
1.324945168811353e-14,0.9295668442417576,2.0,6.0,67.57807209987227,0.5205223790882684,1.5356887565137605,0.021078082105263414
1.9874177532170294e-14,0.9209512863033285,3.0,6.0,70.31948289391521,0.5610845103349968,1.7767494749450012,0.02856110980866495
2.649890337622706e-14,0.9093195585043964,4.0,6.0,72.7932138661788,0.6056927097620395,1.4843179702387967,0.020580193099805258
3.631844239225075e-15,0.9357389932886452,1.0,8.0,64.3196493284981,0.4434853906294585,2.2083430677768616,0.03181673803786788
7.26368847845015e-15,0.9126308831368612,2.0,8.0,69.01333367031201,0.5377005016850868,0.4932057923449298,0.009178348325880848
1.0895532717675225e-14,0.9008429587423696,3.0,8.0,72.70663459616088,0.6135250223527281,1.310411321108243,0.01980310057471191
1.45273769569003e-14,0.8951388586090248,4.0,8.0,76.40116487770038,0.6721737777418565,1.8965565284459167,0.034224342762785215
5.272950036545053e-15,0.9784455113009484,1.0,10.0,63.23411078831021,0.3863906053843886,1.0749844558804862,0.02860487019409908
1.0545900073090107e-14,0.9571549534969064,2.0,10.0,63.92929057567257,0.4491385809120991,1.0340709436796487,0.0324398964873523
1.581885010963516e-14,0.933182031023866,3.0,10.0,66.88610388353524,0.5095329662135839,2.636092085968609,0.04654448975178157
2.1091800146180213e-14,0.9248529252842004,4.0,10.0,71.70842571993745,0.6063853497278738,1.1476201429294337,0.0250283683387503
4.241000274927301e-15,0.9486094943979936,1.0,12.0,59.32247666165925,0.3171664219523887,2.187937111992474,0.024938405891530718
8.482000549854602e-15,0.9435462116992795,2.0,12.0,65.84252966593702,0.4629674500759028,1.1695112301946378,0.03373590655281978
1.2723000824781902e-14,0.9362537349495204,3.0,12.0,64.84318697980204,0.4579606413293028,1.4946974799970425,0.02611326035169666
1.6964001099709204e-14,0.9313578411580988,4.0,12.0,69.18620886060735,0.531467155773244,1.5579197776303508,0.01790179949081897
2.8138322927381293e-15,0.954025005190258,1.0,14.0,58.75820281060751,0.2878450545910159,1.8108634016775516,0.03371110193452976
5.6276645854762586e-15,0.9468243489159474,2.0,14.0,60.755279931667296,0.3169702997470634,1.6499769318425346,0.03289087644995558
8.441496878214387e-15,0.9426643922832262,3.0,14.0,63.017194747160175,0.3788440517126387,1.7069964905357968,0.03489024415919452
1.1255329170952517e-14,0.9399174629248992,4.0,14.0,72.49170077034555,0.6312437441094222,1.8405085009648656,0.025249469641785482
6.9263495050264025e-16,0.9587775496854636,1.0,16.0,58.01802835839817,0.2608047959267471,0.4583603454242509,0.022548197299284003
1.3852699010052807e-15,0.9571315602924492,2.0,16.0,58.66859812972733,0.2975512365172176,1.9389103402152768,0.04132560618672156
2.077904851507921e-15,0.9545271583850096,3.0,16.0,60.75546691372956,0.34553984292959034,1.1435965368591663,0.03004042095044158
2.770539802010561e-15,0.9494040616063592,4.0,16.0,64.62324676063851,0.4422092010287624,0.9551128362580488,0.018511574755347437
1.4097300381861775e-14,0.973718747792362,1.0,18.0,57.88834684638314,0.2417910249184697,1.339974881357887,0.03422573099776319
2.819460076372355e-14,0.9633946508857034,2.0,18.0,59.018786560386886,0.2785244092064342,1.2450111802153212,0.009373405225222798
4.229190114558532e-14,0.963409097124882,3.0,18.0,65.10094257452107,0.4522542631625589,1.2871864372820323,0.035703514958842164
5.63892015274471e-14,0.9610439662815516,4.0,18.0,68.05747171074411,0.5154170554269559,0.607245199380072,0.02020395231442137
2.7232943265110384e-14,0.9865036767763928,1.0,20.0,56.67010220521714,0.20939800338905648,1.6975451907365309,0.017892165425487633
5.446588653022077e-14,0.976738963666962,2.0,20.0,57.236551006960056,0.2579405633267847,1.329246137987702,0.01926596358865269
7.022375714361595e-14,0.9734752484155156,3.0,20.0,66.75434461040643,0.5065817557328236,1.5435409543902632,0.026150428685477102
6.30314824535807e-14,0.9665329510100854,4.0,20.0,67.01332832796736,0.5040846434200729,0.8331609407990059,0.023883200363450586
1.3051114915934979e-14,0.9830595156269116,1.0,22.0,56.84297739551246,0.21729258570840115,1.5608553237639802,0.027776329992105185
2.6102229831869958e-14,0.9806650333883,2.0,22.0,57.628519243844536,0.2420925047889042,1.2100279498671322,0.025196777261403482
3.915334474780495e-14,0.9738250517624149,3.0,22.0,58.80016507844925,0.2825124669256335,1.6644069895141091,0.03517408427716235
5.220445966373993e-14,0.96911352840732,4.0,22.0,60.84175995735988,0.38245763532609095,1.6549861616925174,0.02076826021002685
1.96998454769294e-14,0.9949152979956368,1.0,24.0,56.931071425709455,0.22222644874636108,1.6162117013499981,0.013690429548670141
3.93996909538588e-14,0.9732694357627218,2.0,24.0,57.75753481205322,0.2711366113800779,0.6473997259511561,0.0460895294063878
5.909953643078818e-14,0.971413567220458,3.0,24.0,62.58212632302651,0.4159048101231141,1.7146645860138023,0.031263914423413815
7.879938190771759e-14,0.9696168350142949,4.0,24.0,62.92994912238633,0.4264708539492858,1.276017817935604,0.039373347320389385
7.182700986654602e-16,0.9729139107775456,1.0,26.0,58.235514386625894,0.2553671258927535,0.37136388999491626,0.03314109594568063
1.4365401973309201e-15,0.9735719033800986,2.0,26.0,58.06169442322916,0.2704237217705582,1.2202782037943836,0.03956771676690715
2.1548102959963798e-15,0.9697415696825872,3.0,26.0,59.62720009566906,0.34517198769638674,1.51852774110429,0.025974112754413376
2.8730803946618402e-15,0.966614628470367,4.0,26.0,59.49581971805981,0.3623499243140019,1.5022857310226865,0.027190693291376543
7.61916878990749e-15,0.98426679123827,1.0,28.0,65.35935301740761,0.5048502497336925,2.427840848037144,0.04178805176274887
1.523833757981498e-14,0.9791221987438296,2.0,28.0,68.62212240256746,0.5831868353993499,1.7310049619201806,0.0203395985154767
2.285750636972247e-14,0.9783227028234658,3.0,28.0,70.18536004423461,0.597952272158236,1.0292808778602314,0.01851382649519613
3.047667515962996e-14,0.9773928441187166,4.0,28.0,71.83904666270924,0.6219778898409666,1.7778147252637841,0.02881988658515857
1.2282905215414213e-14,0.9901438445266844,1.0,30.0,56.01745590562297,0.19820669975186106,1.2684361541772566,0.008928804210595461
2.456581043082843e-14,0.9869644910292156,2.0,30.0,58.19260405808608,0.27952825400565273,0.4783838610887694,0.01739240158502002
9.913774046252711e-15,0.9824279058197154,3.0,30.0,60.62474837043079,0.3668575171942765,1.2101852201228491,0.028384250950089326
4.738262338323004e-15,0.9800531072768044,4.0,30.0,60.320590814002784,0.3653491521244122,2.3568867591739115,0.033339437913628145
3.020426025326029e-14,0.9950485404464162,1.0,32.0,60.27767308837039,0.3468901530284666,1.29883003526883,0.031290513196815015
3.1746836247216076e-14,0.9916622293333188,2.0,32.0,59.45366389296242,0.3089384590229158,1.1153946778713566,0.026198558392924343
1.8958570111519642e-14,0.9912578617200676,3.0,32.0,67.61938198524403,0.5417344753945215,2.556821077466205,0.04448851711151108
9.09763579961622e-14,0.9861547267792518,4.0,32.0,67.7105887530906,0.5527541612620056,1.5186620020116195,0.014545844050398337
1.2325918293224246e-14,0.9963829783335142,1.0,34.0,57.80072807938396,0.2325377584536786,1.4567384099425509,0.018395544929890463
9.664744143987451e-15,0.9928665279098128,2.0,34.0,63.58080429820392,0.4542286920170101,1.5429154116129282,0.022053931387054568
4.899415309383766e-05,0.9489712909295652,3.0,34.0,72.66523368545549,0.6390194492456642,0.7513917669295326,0.013104854605839598
0.05143320275808775,0.8143127920762272,4.0,34.0,76.31543401310559,0.6911021443521577,0.8242785530561695,0.012333961610249905
6.386115397910623e-05,0.926739609016994,1.0,36.0,57.5849458481455,0.26248492214998265,0.9466145206013724,0.03615414001227539
0.025067679768922768,0.7352386435635967,2.0,36.0,72.88017079886751,0.6502411756492477,1.4441871381909075,0.014909789675142247
0.06248736207472853,0.4581656564155878,3.0,36.0,80.74692018968611,0.7507461328995919,0.7618625389092123,0.008148251570566879
0.12320113029636565,0.42094102138376055,4.0,36.0,81.6181887931171,0.7628475353684315,1.137989178695339,0.01714943561639484
8.16182652859529e-05,0.9266642669597698,1.0,38.0,74.27185650791068,0.6506229159775749,1.866863774749138,0.021623441115740955
0.036997195639977484,0.7247068193358569,2.0,38.0,77.66354797024808,0.712985528383755,1.2568547604561615,0.010787533698400421
0.068373409869671,0.4617236010124664,3.0,38.0,80.13727729871329,0.7400607062808675,1.7022329467205306,0.01973978246195732
0.13907747485665348,0.35421638525258203,4.0,38.0,80.79002202073364,0.7538103189450623,1.04043027685707,0.014447733709026415
0.00010255308940229268,0.9266010528649788,1.0,40.0,72.79491273177301,0.6402288817373335,1.3736708691688824,0.01711228170608851
0.037950655515122736,0.7261721138570505,2.0,40.0,71.53271949793465,0.6244882644274178,1.5117472306949309,0.021831114012615224
0.07572073648278911,0.463465743678625,3.0,40.0,79.92130315401752,0.7367427211023891,0.7968496744490144,0.013163982315166326
0.15060780139957208,0.3596270809230512,4.0,40.0,81.26951101314073,0.761835082114998,0.816804483765447,0.012724807872732762
0.00012711017983141828,0.9266036827911022,1.0,42.0,74.22677328342759,0.6537001687508923,1.910658520489122,0.0393054755470998
0.04855074638864487,0.7342050508763289,2.0,42.0,75.74926691730481,0.6861861883600959,1.330759053748633,0.019799618040798127
0.08792428474339131,0.5520847904169497,3.0,42.0,81.05259250629317,0.7535196185888227,0.592852553836634,0.009923055495174813
0.16563981559841184,0.3777061685549829,4.0,42.0,80.40098405988194,0.7493422063685599,1.149937018688687,0.016607087712222194
