Reconstruction error,Residual variance,Output dimension,Number of neighbors,KNN Accuracy,KNN F1 measure,KNN accuracy std,KNN F1 measure std
6.975484851213569e-15,0.8655997936429388,1.0,5.0,64.44230203485589,0.4285453271058001,0.9817582288177411,0.019192541900910885
1.3950969702427138e-14,0.8597742999639881,2.0,5.0,69.44174083381479,0.5387110303800526,0.4814334253428165,0.014987468658489867
2.0926454553640708e-14,0.8491755138819532,3.0,5.0,72.83252933899969,0.5954010805539013,1.3207360658844052,0.02668803335502629
2.7901939404854275e-14,0.8526731343465779,4.0,5.0,73.54810201807895,0.604769777279053,1.2712940734667535,0.020796880076924935
1.6022844632988702e-14,0.9461278233807454,1.0,6.0,61.464155794134925,0.360630727570029,1.2784755291405963,0.019766082816083476
3.2045689265977404e-14,0.9160720930617361,2.0,6.0,67.87746677394469,0.5125005412039647,1.5669434942644023,0.02342815271320397
4.8068533898966106e-14,0.9029557925593831,3.0,6.0,70.41936486219855,0.5538614484755904,1.3818231834508052,0.021885814494459994
6.409137853195481e-14,0.8923842539845455,4.0,6.0,72.13560034924427,0.5853292593714906,1.2038436789962317,0.018475386204203314
8.754940024266274e-15,0.9120055457225874,1.0,8.0,57.531424304612834,0.26124487056629075,0.7073846580775424,0.014919773292652799
1.750988004853255e-14,0.8646697768530737,2.0,8.0,60.55167834555571,0.33436072266514866,0.723804126102928,0.01175815037183668
2.6264820072798823e-14,0.8713396811945461,3.0,8.0,60.22641803688332,0.3383365965045724,1.5634863586145569,0.019438725375158117
3.50197600970651e-14,0.8427000347296884,4.0,8.0,63.39972046280773,0.41618665932518584,1.1994091936476976,0.005939814924994454
2.0586557140179017e-14,0.9004140597385345,1.0,10.0,57.18482654161926,0.23869064021137962,1.5227617194123555,0.027033716440349752
4.117311428035803e-14,0.8829026523360944,2.0,10.0,57.965640318573165,0.25261868194780335,0.7085108814406376,0.012453772368720702
6.175967142053705e-14,0.8793641481131127,3.0,10.0,57.466088688668115,0.24419301991061987,1.416736619798828,0.018179180515726548
8.234622856071607e-14,0.8806868618513729,4.0,10.0,58.247894905357875,0.26965794577137003,0.7639284568917956,0.01814527111055596
1.685931506062403e-14,0.9141564409850633,1.0,12.0,56.81377222799178,0.22333851019527823,1.4448249260171062,0.03050555168701022
3.371863012124806e-14,0.8940451462739137,2.0,12.0,58.07464328289613,0.2680349960607844,0.7934369040405607,0.018745322797934966
5.057794518187209e-14,0.8915730991278212,3.0,12.0,58.85682757186623,0.2858669675948429,0.3961866617259571,0.02144022420753911
6.743726024249612e-14,0.8880266395788671,4.0,12.0,58.465995352073904,0.2690959081914504,0.505908828770563,0.021260988622980984
1.5486865135990812e-14,0.9346334935001575,1.0,14.0,57.378186883491125,0.2536410456857176,1.2028754528483003,0.025184446611187624
3.0973730271981623e-14,0.9037395847853213,2.0,14.0,58.313514075512856,0.26782960722151844,1.046796099154816,0.01730403455474648
4.6460595407972435e-14,0.8938485489706394,3.0,14.0,57.57320129158943,0.2718953983854887,1.288679364227046,0.026100786352263778
6.194746054396325e-14,0.8948798905282749,4.0,14.0,58.747493794297974,0.28418003609191655,0.8383818663051747,0.02564319215017469
2.8929298010082156e-14,0.9246893443170113,1.0,16.0,56.683573586452724,0.2312516526880545,0.7999722306418521,0.008517797652233075
5.785859602016431e-14,0.9026797863093594,2.0,16.0,57.400753072723376,0.24016877653969795,0.5719760474158386,0.015362321881308696
8.678789403024647e-14,0.897397346979228,3.0,16.0,57.378943028051786,0.249630356211074,1.7217013208129193,0.03785754050949994
1.1571719204032863e-13,0.8958302016282464,4.0,16.0,58.55219583198941,0.26736612002658106,1.4072224281300663,0.013181301990024754
1.8642686222772135e-14,0.9489160597509205,1.0,18.0,56.07553884161017,0.2332940465707137,1.065763654597237,0.03495911550682668
3.728537244554427e-14,0.9257489884383887,2.0,18.0,57.96497869208258,0.24912000229394438,1.1720856065829122,0.022096753524636404
5.5928058668316406e-14,0.9250334049293628,3.0,18.0,57.94255427995544,0.2682254513959426,1.422154070317493,0.02286546374290664
7.457074489108854e-14,0.9126285920894777,4.0,18.0,60.13903608109179,0.2987454715415134,1.3857461627560947,0.025922991134642855
5.567590859187325e-14,0.9387567108893905,1.0,20.0,57.55313983121437,0.24261497040588523,1.0896343557101718,0.015374357528982896
8.845821333454766e-14,0.9207691029819014,2.0,20.0,57.791916105761004,0.2784082153369038,1.1771123294831922,0.01606832971063834
1.0979371615262267e-13,0.9067966047672606,3.0,20.0,57.61762478452833,0.2507930423737821,1.8687242892182565,0.02617257335280992
1.3112921897069768e-13,0.9024860600032713,4.0,20.0,57.22655626956081,0.2490618084374578,0.5524433383542929,0.01928499373625985
4.746679761477725e-14,0.9874300492640714,1.0,22.0,57.161740503001546,0.2326097250319104,0.559521621479909,0.013192044339382383
9.49335952295545e-14,0.953194776882452,2.0,22.0,56.61809619340288,0.2213705862580982,0.8732735793578914,0.0157437481004876
1.4240039284433175e-13,0.9305261428026781,3.0,22.0,58.16051294956634,0.26380429937177496,1.6065050057490502,0.020878319121968837
1.89867190459109e-13,0.9224703066901447,4.0,22.0,59.63811393917054,0.29504081638513385,1.2240715617000115,0.02460015665440647
1.862987150425173e-14,0.9446179622906171,1.0,24.0,56.94415990567097,0.24536386091038215,1.6781701466250263,0.03435245899086538
3.725974300850346e-14,0.9342201041370295,2.0,24.0,57.920460681073585,0.26544423357956554,1.84704207300951,0.03256169325529275
5.588961451275519e-14,0.9282907788907566,3.0,24.0,57.726958562096605,0.2630119188423451,0.7562565917202989,0.01991760362551574
7.451948601700692e-14,0.9283490415952442,4.0,24.0,59.66072738743784,0.291062531984443,1.0944206132635428,0.0106252376749265
5.07756901988232e-14,0.9699443343952525,1.0,26.0,70.72347675268992,0.5568580944835373,0.617625336611773,0.022450151850270907
1.015513803976464e-13,0.9795154135073647,2.0,26.0,70.91877471499848,0.5643587415241452,1.097466540731751,0.015558003216417302
1.414873613784209e-13,0.9580693487726438,3.0,26.0,70.78876510959961,0.5532681592049693,0.5482525859305801,0.01191564391231693
1.5974392392309796e-13,0.952574507425094,4.0,26.0,71.28959273345076,0.5590399206787289,1.3114599881968505,0.02265921882108766
2.4115843601417617e-14,0.9925289658914673,1.0,28.0,56.92362585494548,0.22876231311819137,1.5699831396945265,0.0235032718233181
4.8231687202835235e-14,0.9912200378519203,2.0,28.0,57.836292339664865,0.2491108366753702,1.252747692888696,0.016243265776293703
7.234753080425285e-14,0.9790010934929045,3.0,28.0,58.42194993141533,0.2630421579720915,0.6435825481227757,0.02047003046583232
9.646337440567047e-14,0.9709885730845961,4.0,28.0,58.270461094590146,0.2659380801093782,1.3168778462910329,0.023740430779420806
4.5524590428022193e-14,0.9899454499190898,1.0,30.0,57.16178776203658,0.23788857336316266,1.4495791778749572,0.023541491089624018
9.104918085604439e-14,0.9830886230995984,2.0,30.0,56.2706950268136,0.2161892150678606,0.912100076001686,0.019283117341272398
1.6050536960491398e-13,0.9803151158269491,3.0,30.0,58.83515930429975,0.2849940139768409,0.6770342101747887,0.019585638247907086
1.8209836171208877e-13,0.9774281487078268,4.0,30.0,57.53118800943763,0.26350408135256287,0.4619645769413381,0.028220947716554725
2.4943856153991444e-14,0.9967938551746018,1.0,32.0,57.59675992055757,0.23686688698720237,0.8970943777993111,0.012414967303002346
4.988771230798289e-14,0.9836248338401333,2.0,32.0,58.29227113926174,0.26563679577819405,1.1238895532312358,0.025363581857233974
7.483156846197433e-14,0.9769061233813139,3.0,32.0,58.33452071658875,0.2742732600182287,1.4078105654600357,0.030768912627088356
9.977542461596578e-14,0.9734074474749889,4.0,32.0,59.1172248549443,0.298402443874088,1.5766972438138482,0.023389805813720403
9.473631222481782e-15,0.9853434617491446,1.0,34.0,55.8576274310343,0.20223013138880366,0.734012362083709,0.013038801847287278
1.8947262444963565e-14,0.9837226163607666,2.0,34.0,57.42204326800953,0.2641625955537804,0.930525619445738,0.0179961106959769
2.8420893667445345e-14,0.9827445497867038,3.0,34.0,60.59591280235445,0.33917643837445216,0.879438402320873,0.02041892430096336
1.3633681918500706e-14,0.9780771789159632,4.0,34.0,61.2465279377693,0.3371077475271577,1.3733221254371626,0.035268590904055236
3.433303925183232e-16,0.9940325287262582,1.0,36.0,57.09583777863632,0.247061158608961,0.8304743968140323,0.00756567743728118
6.866607850366464e-16,0.9908368545129796,2.0,36.0,56.923436818805314,0.2559738611654278,1.4606739925793395,0.009272333719881209
2.7225838926298448e-14,0.9910161511693361,3.0,36.0,71.80996196829155,0.5859995409552453,0.995961779393499,0.018402210700177286
5.3765017067560246e-14,0.9896644072021705,4.0,36.0,72.48380491942925,0.5939181773529445,0.6742623156319117,0.015479552331446354
9.75791112282089e-15,0.997355559154973,1.0,38.0,67.52793895077853,0.49973719559879515,1.131114170403238,0.01803533230213367
4.16060785850672e-15,0.994855130157494,2.0,38.0,72.63661700923561,0.6059422867461025,0.6047138390934089,0.014847946627932967
6.802855322157756e-05,0.9370667016587141,3.0,38.0,78.46219099975308,0.7302424487334414,0.9435074946756192,0.017528923013502062
0.011414626114126037,0.8868891224725783,4.0,38.0,62.248561257751966,0.40391810087143226,1.5313538313127069,0.027855838419870514
7.906895225251364e-05,0.8896401424404332,1.0,40.0,76.91915987613407,0.7102952778612888,1.5757968076182642,0.018961137555655237
0.018260232622317775,0.8557690472459692,2.0,40.0,57.81344259622235,0.2962169672152496,0.9770163465152213,0.015384815289105713
0.03812006303712728,0.8523404680641706,3.0,40.0,77.26556860298749,0.7006322100247108,0.744914260470648,0.013320366766178255
0.07129544530075789,0.7604032910911509,4.0,40.0,82.65683206147455,0.7742062260691449,1.1147178385096976,0.020237880981584955
9.131689232393687e-05,0.8896156391440109,1.0,42.0,78.35266818604465,0.722825359950038,0.8483679168470021,0.011609539767931894
0.023327743600057762,0.8907404295853373,2.0,42.0,79.15670977872139,0.7354841204820779,1.8088781086131411,0.022397237572082028
0.05812546096989943,0.7966300634094424,3.0,42.0,84.89513810862253,0.8078622204759827,1.180568588034197,0.01485701710912609
0.1096771250175436,0.7586996136494696,4.0,42.0,83.35158713561808,0.7758195592714804,0.8372709499443206,0.014184124448874265
0.00010482326909128687,0.8895894416167439,1.0,44.0,78.95994678632655,0.7313411300215151,1.410413604127526,0.02234757720131505
0.027080438813548192,0.8900647318929857,2.0,44.0,79.74354884634788,0.741371127426393,0.5338849475922949,0.0071366762500379875
0.06367363579728194,0.7959201339292382,3.0,44.0,84.02514653254552,0.7955601105737122,0.7149985420551113,0.008168535865687153
0.12320457207112931,0.7573313694988881,4.0,44.0,82.8303199791115,0.7732187184214926,1.3724532586424827,0.018618041788721843
0.0001196395844844774,0.8895590774705601,1.0,46.0,79.24456432486333,0.7367416087356686,1.261098586716913,0.017635423306152753
0.031205396513758855,0.8888073672409459,2.0,46.0,80.11327990699422,0.7463700045177877,1.6600226065023223,0.020190287041790097
0.06930484657920391,0.7951132702223455,3.0,46.0,83.8730433282648,0.7962746933813339,1.2355678669525647,0.015249997836357575
0.13955607286863392,0.7559661491717052,4.0,46.0,81.76479414555074,0.7564558038816107,1.1918914514656909,0.01737857971132935
0.0001358200835315799,0.8895334074911323,1.0,48.0,80.17819019162357,0.748668159796986,0.909085897203785,0.00918306611058941
